component	flashseq_side	vasa_side	match	evidence
rRNA_fasta	unique_rRNA_mouse.v2.fa md5=177913504bea6d1d0b992c018f84383b (FS_RRNA_FA)	unique_rRNA_mouse.v2.fa md5=177913504bea6d1d0b992c018f84383b (RRNA_FASTA)	YES	Both configs resolve to the identical path; single file, inode 1891902955, links=1, 71100 B, built 2026-07-26 20:34:20. Not two copies - one file.
rRNA_bwa_index	v2.fa.{amb,ann,bwt,pac,sa} md5 63a97c4a/413e1f03/5a6afa47/57efc8f1/1b9d3636	same five sidecar files, same md5s	YES	Built 2026-07-26 20:34:21, i.e. before both runs. bwa reads these, not the fasta.
rRNA_run_timing	2026-07-27 17:46-18:28 (40 ribo-map.log, 10 libs x 2 arms x 2 flags)	2026-07-26 23:48-2026-07-27 00:09 (16 ribo-map.log)	YES	Both runs postdate the 2026-07-26 20:34 reference rebuild, so neither used the older v1 fasta.
riboread-selection.py	$W/code/I_Gene_expression/a_Mapping/riboread-selection.py md5=f09e4ac4844ed181bf6adfee628c2183	same file, same md5	YES	One copy on disk (find returned no forks). git blob 1ca5ff1c0fc4e6fcfddea887b6d018bdedeeaf89 == HEAD == 8bee6f6 (2026-07-16); git diff HEAD empty. mtime 2026-07-27 09:57 falls BETWEEN the two runs but content is unchanged - cosmetic touch, not an edit.
ribo-bwamem.sh	same file md5=9ef0c0364f920cf4309cf1ebac4b4b9a	same file, same md5	YES	git blob 0e17b99dcfba08587bb9a7a551c688a51b21ae74 == HEAD == 9a3b1b2 (2026-07-22, before both runs). No commit touches either script between the runs.
stranded_flag	n (all mapped reads count)	y (only reads with >=1 forward hit count)	NO -- BY DESIGN, BUT THE JUSTIFICATION IS ONE-SIDED	Measured both sides. FLASH-seq forward share of ribosomal reads 49.1-50.5%, y/n=0.491-0.509 => genuinely unstranded, n is correct. VASA forward share is 76.1% (library) / 57.7-83.8% (12 real cells), NOT ~50%: so y discards 23.9% of VASA's ribosomal reads. The two published percentages are therefore NOT on the same footing.
genome_fasta	GRCm39 genome.fa (nf-core params.fasta)	same genome.fa (via the shared STAR index)	YES	One file, /nemo/.../mus_musculus/GRCm39/genome.fa, 2773696866 B, mtime 2025-12-16. Also the RSEM reference genome.fa.
STAR_index	results/genome/index/star -- built in-run, then moved to the reference tree	STAR_INDEX=/nemo/.../GRCm39/star_index_151_r116	YES -- ONE INDEX, NOT TWO	VASA's own STAR Log.txt names star_index_151_r116 as genomeDir, and that directory's genomeParameters.txt is nf-core's own generate command (/opt/conda/bin/STAR-avx2 --sjdbGTFfile Mus_musculus.GRCm39.116.filtered.gtf --sjdbOverhang 150). versionGenome 2.7.4a, sjdbOverhang 150, 78348 genes, 481956 transcripts, 61 contigs, 562855 GTF junctions. own_version/pipeline.sh line ~213 documents the sharing.
STAR_sjdbOverhang	150 (built for 151 nt PE; avg input read length 254)	150 (needs >=129 for this library; avg input read length 105)	YES -- same value, both satisfied	Overhang larger than VASA needs is harmless; too small is the only failure mode, and pipeline.sh checks for it. Not a biotype-assignment issue.
STAR_binary	2.7.11b (nf-core container)	2.7.7a (module STAR/2.7.7a-GCC-10.2.0)	NO -- different binary, same index	Both read versionGenome 2.7.4a without complaint. Affects alignment heuristics marginally, not annotation. Flagged for completeness; the bigger difference is single-end 105 nt vs paired-end 254 nt input.
annotation_release	Ensembl 116 / GRCm39 (params.gtf = Mus_musculus.GRCm39.116.gtf)	Ensembl 116 / GRCm39 (same GTF, via build_annotation_bed.sh)	YES	Source GTF md5=0f9ab91d5ed1be2c7538589d6950f3af, 78348 gene rows, 481956 transcripts, 38 contigs. The v2 BED provenance file records the same md5 as its input.
annotation_object	nf-core-filtered GTF -> RSEM/featureCounts (transcript-level model)	REF_BED Mus_musculus.GRCm39.116.homemade_IntronExonTrna.v2.bed md5=49967454cc3a231d681fa80970969517, 719409 rows	SAME RELEASE, DIFFERENT OBJECT	Same Ensembl 116 genes, but VASA's BED is one entry per GENE with merged-exon union + explicit intron rows + 1137 GtRNAdb tRNA rows; nf-core's is per-transcript. Biotype labels agree because both derive gene_biotype from the same GTF. Matters only if nf-core/RSEM is used as the comparator - decision 1 already says it is a cross-check, not the comparator.
aligner_bwa	bwa 0.7.17-r1188 ($FS_P2BWA)	bwa 0.7.17-r1188 ($P2BWA)	YES	FS_P2BWA and P2BWA are the same string: /camp/apps/eb/software/BWA/0.7.17-GCC-10.3.0/bin. Version read from the binary.
samtools_ribo_stage	1.11 ($FS_P2SAMTOOLS)	1.11 ($P2SAMTOOLS)	YES	Same module path SAMtools/1.11-GCC-10.2.0 in both configs. (nf-core's own stages use samtools 1.21, but not for the rRNA measurement.)
python_env_ribo_stage	envs/vasa (python 3.10.20, pandas 2.3.3, numpy 2.2.6)	envs/vasa, same env	YES	riboread-selection.py is '#!/usr/bin/env python3' and both configs activate the same conda prefix before calling it.
counting_currency	reads (smartseq_noUMI: no UMI exists to deduplicate)	UFIs / collision-corrected TranscriptCounts (6 nt UMI, K=4096)	NO -- INTRINSIC, NOT FIXABLE	Measured VASA read:UFI = 2.13-2.96 per cell (median 2.57, pooled 2.69) and it is expression-dependent (Spearman +0.498; decile 1.69 -> 2.91). See read_vs_molecule.tsv and the column-choice decision.
read_geometry	R1 only, single-end, 151 nt (05_rrna_bwa.sh choice 3); stride FS_STRIDE=64	single biological read (R2), 105 nt average after trimming	YES for the rRNA leg	R1-only was chosen so the unit is one read / one verdict on both sides. Length still differs (151 vs 105 nt) which favours FLASH-seq detection - i.e. conservative for the finding that FLASH-seq has LESS rRNA.
comparison_unit	per library, 10 libraries, an input titration 30 ng -> 30 pg	per cell, 12 real cells (+4 confirmed blanks 001/014/015/016)	PARTIAL	Not ten comparable samples: only A9/A10 (30 pg) is the single-cell-equivalent rung. A8 is qc_verdict=exclude (18.3% human CALB1, well H:1), A7 caveat. Depth also differs ~10x, and VASA's own gene detection runs 32591-65137 across a 6.2x depth range, so any detection comparison must be depth-matched.
